asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term,value_score,device_type,is_wired,has_mic,cluster,segment
B0C3V5X3QT,jbl tune 520bt wireless on ear headphones with mic upto 57h battery speed charge  5 min charge gives up to 3h of playback multipoint connect customizable bass with headphones app bt 53 black,jbl,7.937374696163295,44.0,4.0,9.980494888896912,audio,https://www.amazon.in/dp/B0C3V5X3QT,headphones,0.0014290818149339,headphones,0,1,1,Popular
B0FG2QT7H2,boat rockerz 512 anc40db hybrid anc 80h battery 40mm drivers 40ms low latency enx techstream ad free music via app support bluetooth headphones wireless headphone with mic cosmic black,boat,7.9724660159745655,64.0,4.2,10.328787967145063,audio,https://www.amazon.in/dp/B0FG2QT7H2,headphones,0.0014487754398068,headphones,0,1,1,Popular
B0DGTSRX3R,boat rockerz 480 rgb leds6 light modes 40mm driversbeast mode 60h battery enx tech stream ad free music via app support bluetooth headphones wireless over ear headphone with mic black sabre,boat,7.313220387090301,60.0,4.1,8.38958706681109,audio,https://www.amazon.in/dp/B0DGTSRX3R,headphones,0.0027351567711807,headphones,0,1,1,Popular
B0FQJGBKCX,ptron studio w 60hrs playtime wireless overear headphones with hd mic immersive sound 40mm drivers bt54 dualdevice pairing 35mm aux port tf card slot  typec fast charging jet black,ptron,6.396929655216146,77.0,4.0,5.54907608489522,audio,https://www.amazon.in/dp/B0FQJGBKCX,headphones,0.006677796327212,headphones,1,1,1,Popular
B0GCDPD6MB,snaphead vibe bluetooth wireless over ear headphone  bluetooth headset  type c charging  up to 13 hours nonstop music 40mm speaker driver  super bass  sapphire blue,snaphead,6.907755278982137,88.0,4.0,0.0,audio,https://www.amazon.in/dp/B0GCDPD6MB,headphones,0.004004004004004,headphones,0,0,0,High Rated
B0FC2W8WJM,boat 2025 launch rockerz 411 40ms low latency 40hrs battery 40mm drivers enx tech stream ad free music via app support bluetooth headphones wireless over ear headphone with mic bold blue,boat,7.24422751560335,53.0,4.1,10.2328272702548,audio,https://www.amazon.in/dp/B0FC2W8WJM,headphones,0.0029306647605432,headphones,0,1,1,Popular
B0FPRCDS5J,ptron studio pro w 65hrs playtime wireless over ear headphones whd mic  trutalk aienc calls lowlatency game  music 40mm drivers bt54 dual device pairing  typec fast charging jet black,ptron,6.551080335043404,73.0,4.1,5.717027701406222,audio,https://www.amazon.in/dp/B0FPRCDS5J,headphones,0.005865522174535,headphones,0,1,1,Popular
B0BS1RT9S2,sony whch520 wireless bluetooth headphones on ear with mic up to 50hrs battery quick charge dsee upscale multipoint connectivity voice assistant customized eqblue model  yy2958,sony,8.289037098278483,34.0,4.2,10.239995502805316,audio,https://www.amazon.in/dp/B0BS1RT9S2,headphones,0.0010555415933651,headphones,0,1,1,Popular
B0FDKQ2FG6,bose new quietcomfort ultra bluetooth headphones 2nd gen wireless headphones with spatial audio over ear noise cancelling with mic up to 30 hours of play time driftwood sand  limited edition,bose,10.817796321618971,0.0,4.4,7.244941546337007,audio,https://www.amazon.in/dp/B0FDKQ2FG6,headphones,8.817635270541083e-05,headphones,0,1,2,Premium
B0BS1QCFHX,sony whch720n active noise cancellation wireless bluetooth over ear headphones with mic adaptive sound control quick charge up to 35hrs battery customized eq black model  yy2966,sony,9.018695487721343,45.0,4.3,9.60918360377546,audio,https://www.amazon.in/dp/B0BS1QCFHX,headphones,0.0005208964264082,headphones,0,1,2,Premium
